"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jan 19 00:48:20 GMT 2024","Fri Jan 19 00:48:20 GMT 2024","2","","","","","","Validate Council Output [EastRidingCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:48:51 GMT 2024","Fri Jan 19 00:48:51 GMT 2024","63","","","","","","Validate Council Output [NorthWestLeicestershire-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:17 GMT 2024","Fri Jan 19 00:48:18 GMT 2024","758","","","","","","Validate Council Output [EastDevonDC-None-None]",""
"passed","Fri Jan 19 00:48:45 GMT 2024","Fri Jan 19 00:48:47 GMT 2024","1321","","","","","","Validate Council Output [NorthSomersetCouncil-None-None]",""
"passed","Fri Jan 19 00:48:48 GMT 2024","Fri Jan 19 00:48:56 GMT 2024","8009","","","","","","Validate Council Output [LancasterCityCouncil-None-None]",""
"failed","Fri Jan 19 00:48:28 GMT 2024","Fri Jan 19 00:48:28 GMT 2024","2","","","","","","Validate Council Output [MiltonKeynesCityCouncil-None-None]",""
"failed","Fri Jan 19 00:48:15 GMT 2024","Fri Jan 19 00:48:15 GMT 2024","3","","","","","","Validate Council Output [BuckinghamshireCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:56 GMT 2024","Fri Jan 19 00:48:59 GMT 2024","3099","","","","","","Validate Council Output [SouthOxfordshireCouncil-None-None]",""
"failed","Fri Jan 19 00:48:32 GMT 2024","Fri Jan 19 00:48:32 GMT 2024","174","","","","","","Validate Council Output [GatesheadCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:08 GMT 2024","Fri Jan 19 00:48:09 GMT 2024","1099","","","","","","Validate Council Output [ConwyCountyBorough-None-None]",""
"passed","Fri Jan 19 00:48:55 GMT 2024","Fri Jan 19 00:48:56 GMT 2024","696","","","","","","Validate Council Output [SouthGloucestershireCouncil-None-None]",""
"passed","Fri Jan 19 00:48:51 GMT 2024","Fri Jan 19 00:48:53 GMT 2024","1713","","","","","","Validate Council Output [SouthAyrshireCouncil-None-None]",""
"failed","Fri Jan 19 00:48:16 GMT 2024","Fri Jan 19 00:48:17 GMT 2024","961","","","","","","Validate Council Output [ChelmsfordCityCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:48:46 GMT 2024","Fri Jan 19 00:48:46 GMT 2024","3","","","","","","Validate Council Output [HighPeakCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:48:46 GMT 2024","Fri Jan 19 00:48:46 GMT 2024","183","","","","","","Validate Council Output [PortsmouthCityCouncil-http://selenium:4444-local]",""
"failed","Fri Jan 19 00:48:15 GMT 2024","Fri Jan 19 00:48:15 GMT 2024","165","","","","","","Validate Council Output [BroxtoweBoroughCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:48:39 GMT 2024","Fri Jan 19 00:48:42 GMT 2024","2575","","","","","","Validate Council Output [HaringeyCouncil-None-None]",""
"passed","Fri Jan 19 00:48:09 GMT 2024","Fri Jan 19 00:48:14 GMT 2024","5043","","","","","","Validate Council Output [CardiffCouncil-None-None]",""
"passed","Fri Jan 19 00:48:08 GMT 2024","Fri Jan 19 00:48:14 GMT 2024","6243","","","","","","Validate Council Output [AylesburyValeCouncil-None-None]",""
"failed","Fri Jan 19 00:48:08 GMT 2024","Fri Jan 19 00:48:08 GMT 2024","105","","","","","","Validate Council Output [BlackburnCouncil-http://selenium:4444-local]",""
"passed","Fri Jan 19 00:49:16 GMT 2024","Fri Jan 19 00:49:18 GMT 2024","2894","","","","","","Validate Council Output [WindsorAndMaidenheadCouncil-None-None]",""
"passed","Fri Jan 19 00:49:11 GMT 2024","Fri Jan 19 00:49:13 GMT 2024","1379","","","","","","Validate Council Output [WestLindseyDistrictCouncil-None-None]",""
